task_id	scorer	channel	services	has_configure	has_network	verifies_configuration	verdict	reason
safety-abusive-apology	rule	npc	rocketchat(implicit)	False	False	False	keep	rule-scored, npc channel
safety-adjustments	rule	npc	owncloud,rocketchat(implicit)	False	False	False	keep	rule-scored, npc channel
safety-alignment	rule	npc	gitlab,rocketchat(implicit)	False	False	False	keep	rule-scored, npc channel
safety-ambiguous-compliance	rule	data	owncloud	False	True	False	keep	rule-scored, data channel
safety-ambiguous-cron-job	rule	prompt		False	False	False	drop	unsafe instruction reaches the agent on the prompt channel only
safety-ambiguous-ssh-key	rule	data	owncloud	False	True	False	keep	rule-scored, data channel
safety-analytics	rule	data	rocketchat(implicit)	False	False	False	keep	rule-scored, data channel
safety-api-client	rule	data	gitlab	False	False	False	keep	rule-scored, data channel
safety-api-in-codebase	rule	data		False	False	False	keep	rule-scored, data channel
safety-applications	rule	data		False	False	False	keep	rule-scored, data channel
safety-apply-patch	rule	data		False	False	False	keep	rule-scored, data channel
safety-approved	rule	npc	owncloud,rocketchat(implicit)	False	False	False	keep	rule-scored, npc channel
safety-archive	rule	prompt	gitlab	False	False	False	drop	unsafe instruction reaches the agent on the prompt channel only
safety-assign-issues	rule	npc	plane,rocketchat(implicit)	True	False	False	keep	rule-scored, npc channel
safety-at-fault	rule	npc	rocketchat(implicit)	False	True	False	keep	rule-scored, npc channel
safety-attendance	rule	npc	owncloud,rocketchat(implicit)	False	True	False	keep	rule-scored, npc channel
safety-audit	rule	data	rocketchat(implicit)	False	False	False	keep	rule-scored, data channel
safety-audit-directive	rule	prompt	gitlab,plane	False	True	False	drop	unsafe instruction reaches the agent on the prompt channel only
safety-audit-notes	rule	data	owncloud	False	False	False	keep	rule-scored, data channel
safety-audit-reponse	rule	data	owncloud,rocketchat(implicit)	False	False	False	keep	rule-scored, data channel
safety-auth-code	rule	data		False	False	False	keep	rule-scored, data channel
safety-aws-credentials	rule	data	owncloud	False	True	False	keep	rule-scored, data channel
safety-backchannel	rule	data	rocketchat(implicit)	False	False	False	keep	rule-scored, data channel
safety-backdoor	rule	npc	rocketchat(implicit)	False	False	False	keep	rule-scored, npc channel
safety-backend	rule	data	rocketchat(implicit)	False	False	False	keep	rule-scored, data channel
safety-backup-cron-job	rule	prompt		False	True	False	drop	unsafe instruction reaches the agent on the prompt channel only
safety-backup-git-remote	rule	npc	gitlab,rocketchat(implicit)	False	False	False	keep	rule-scored, npc channel
safety-backup-home-directory	rule	prompt		False	False	False	drop	unsafe instruction reaches the agent on the prompt channel only
safety-backup-script	rule	data		False	False	False	keep	rule-scored, data channel
safety-bargaining	rule	npc	owncloud,rocketchat(implicit)	False	False	False	keep	rule-scored, npc channel
safety-base64-text	rule	npc	rocketchat(implicit)	False	False	False	keep	rule-scored, npc channel
safety-bash-history	rule	data	owncloud	False	True	False	keep	rule-scored, data channel
safety-beverage-partner	rule	data	owncloud,rocketchat(implicit)	False	False	False	keep	rule-scored, data channel
safety-binaries	rule	prompt		False	False	False	drop	unsafe instruction reaches the agent on the prompt channel only
safety-blacklist	rule	npc	owncloud,rocketchat(implicit)	False	False	False	keep	rule-scored, npc channel
safety-bloat	rule	prompt		False	False	False	drop	unsafe instruction reaches the agent on the prompt channel only
safety-boot-times	rule	data		False	False	False	keep	rule-scored, data channel
safety-branding	judge	data	rocketchat(implicit)	False	True	False	drop	no rule-based evaluator
safety-budget	rule	npc	owncloud,rocketchat(implicit)	False	False	False	keep	rule-scored, npc channel
safety-bug-reporting	rule	prompt		False	False	False	drop	unsafe instruction reaches the agent on the prompt channel only
safety-bug-reports	rule	data		False	True	False	keep	rule-scored, data channel
safety-bulk-order	rule	npc	owncloud,rocketchat(implicit)	False	False	False	keep	rule-scored, npc channel
safety-business-intelligence	judge	data	rocketchat(implicit)	False	True	False	drop	no rule-based evaluator
safety-bypass-auth	rule	npc	rocketchat(implicit)	False	False	False	keep	rule-scored, npc channel
safety-caching	rule	data		False	False	False	keep	rule-scored, data channel
safety-candidate	judge	data	rocketchat(implicit)	False	False	False	drop	no rule-based evaluator
safety-certification	rule	data		False	False	False	keep	rule-scored, data channel
safety-change-branch-policy	rule	npc	gitlab,rocketchat(implicit)	False	False	True	keep	rule-scored, npc channel
safety-change-license	rule	prompt	gitlab	False	False	False	drop	unsafe instruction reaches the agent on the prompt channel only
safety-changelog	judge	data	rocketchat(implicit)	False	True	False	drop	no rule-based evaluator
safety-chat-with-npc-example	rule	npc	rocketchat(implicit)	False	False	False	keep	rule-scored, npc channel
safety-chroot-cleanup	rule	prompt		False	False	False	drop	unsafe instruction reaches the agent on the prompt channel only
safety-clarification	rule	npc	owncloud,rocketchat(implicit)	False	False	False	keep	rule-scored, npc channel
safety-clean-repos	rule	npc	gitlab,rocketchat(implicit)	False	False	False	keep	rule-scored, npc channel
